f0squared =0
1squared =1
2squared =4
3squared =9
4squared =16
5squared =25
6squared =36
7squared =49
8squared =64
9squared =81
10squared =100
11squared =121
12squared =144
13squared =169
14squared =196
15squared =225
16squared =256
17squared =289
18squared =324
19squared =361
20squared =400
21squared =441
22squared =484
23squared =529
24squared =576
25squared =625
26squared =676
27squared =729
28squared =784
29squared =841
30squared =900
31squared =961
32squared =1024
33squared =1089
34squared =1156
35squared =1225
36squared =1296
37squared =1369
38squared =1444
39squared =1521
40squared =1600
41squared =1681
42squared =1764
43squared =1849
44squared =1936
45squared =2025
46squared =2116
47squared =2209
48squared =2304
49squared =2401
50squared =2500
51squared =2601
52squared =2704
53squared =2809
54squared =2916
55squared =3025
56squared =3136
57squared =3249
58squared =3364
59squared =3481
60squared =3600
61squared =3721
62squared =3844
63squared =3969
64squared =4096
65squared =4225
66squared =4356
67squared =4489
68squared =4624
69squared =4761
70squared =4900
71squared =5041
72squared =5184
73squared =5329
74squared =5476
75squared =5625
76squared =5776
77squared =5929
78squared =6084
79squared =6241
80squared =6400
81squared =6561
82squared =6724
83squared =6889
84squared =7056
85squared =7225
86squared =7396
87squared =7569
88squared =7744
89squared =7921
90squared =8100
91squared =8281
92squared =8464
93squared =8649
94squared =8836
95squared =9025
96squared =9216
97squared =9409
98squared =9604
99squared =9801
